tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
198,20:28.3,23:46.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26172,Subscriber,1995,1
198,39:33.4,42:52.1,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31731,Subscriber,1969,0
329,18:38.2,24:08.1,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,31765,Subscriber,1994,1
238,07:27.2,11:26.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31750,Subscriber,1987,1
270,26:48.2,31:18.5,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,26172,Subscriber,1971,1
442,26:59.7,34:22.3,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29654,Subscriber,1976,1
283,27:15.3,31:59.0,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29242,Subscriber,1980,1
338,20:06.6,25:45.4,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29221,Subscriber,1979,1
190,12:21.2,15:31.4,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,31875,Subscriber,1973,1
243,00:15.3,04:19.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31744,Subscriber,1984,1
220,11:09.3,14:49.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26215,Subscriber,1993,1
499,17:46.2,26:05.7,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31877,Subscriber,1989,1
350,03:46.8,09:37.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31946,Subscriber,1987,1
271,18:35.9,23:07.3,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29617,Subscriber,1994,1
648,50:28.7,01:17.6,3183,Exchange Place,40.7162469,-74.0334588,3279,Dixon Mills,40.72163014,-74.04996783,29634,Subscriber,1982,1
123,23:20.3,25:23.9,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31929,Subscriber,1991,1
88,25:02.9,26:31.5,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,31799,Subscriber,1970,1
66,30:12.7,31:19.4,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29208,Subscriber,1970,1
213,22:52.0,26:25.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29536,Subscriber,1981,0
466,23:14.4,31:00.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31929,Subscriber,1990,1
447,35:47.0,43:14.1,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,31875,Subscriber,1980,1
78,41:10.0,42:28.9,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29617,Subscriber,1989,1
415,01:35.4,08:30.4,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,31750,Subscriber,1990,1
492,43:28.3,51:40.4,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,26204,Subscriber,1990,1
1470,43:28.3,07:58.7,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29607,Customer,1969,0
1457,43:41.8,07:58.9,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26279,Customer,1969,0
292,43:10.9,48:03.3,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29613,Subscriber,1987,2
235,43:16.0,47:11.9,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29512,Subscriber,1987,1
364,43:54.9,49:59.8,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29644,Subscriber,1990,1
171,44:02.3,46:53.4,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31842,Subscriber,1989,1
275,04:49.8,09:25.6,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,31934,Subscriber,1994,1
1974,06:04.9,38:59.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29583,Subscriber,1980,2
274,22:12.7,26:47.7,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31914,Subscriber,1959,2
535,41:52.4,50:47.8,3183,Exchange Place,40.7162469,-74.0334588,3272,Jersey & 3rd,40.72333159,-74.04595256,31811,Subscriber,1992,1
167,56:23.8,59:11.0,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29583,Subscriber,1988,1
1017,18:07.3,35:05.1,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,26215,Subscriber,1977,1
1938,20:46.0,53:04.8,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,31709,Subscriber,1972,1
253,20:37.7,24:51.6,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,26318,Subscriber,1993,1
178,44:07.0,47:05.5,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,31843,Subscriber,1962,2
214,57:16.7,00:50.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29628,Subscriber,1981,0
385,57:44.0,04:09.0,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,26276,Subscriber,1990,1
380,08:29.9,14:50.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31811,Subscriber,1992,1
218,37:45.0,41:23.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31710,Subscriber,1988,1
355,58:32.4,04:28.2,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31675,Subscriber,1990,2
411,39:39.6,46:31.3,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31728,Subscriber,1990,1
203,07:59.0,11:22.0,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29256,Subscriber,1986,1
307,32:37.8,37:45.2,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31739,Subscriber,1995,1
843,44:55.7,58:59.5,3183,Exchange Place,40.7162469,-74.0334588,3270,Jersey & 6th St,40.72528911,-74.04557168,31710,Subscriber,1977,1
131,39:36.3,41:47.5,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,31739,Subscriber,1966,1
82,16:53.0,18:15.6,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,31731,Subscriber,1975,1
356,50:19.1,56:15.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31842,Subscriber,1986,2
89,48:58.0,50:27.4,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31689,Subscriber,1962,1
108,09:51.5,11:39.5,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31914,Subscriber,1984,1
251,26:05.2,30:16.6,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26296,Subscriber,1986,1
289,31:41.4,36:31.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26275,Subscriber,1976,1
266,47:41.0,52:07.3,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29221,Subscriber,1982,2
229,44:19.6,48:09.2,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31903,Subscriber,1979,1
816,25:08.6,38:45.0,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29205,Subscriber,1978,1
539,44:39.4,53:38.6,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,26289,Subscriber,1985,1
299,03:34.2,08:33.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29219,Subscriber,1965,2
205,16:37.3,20:03.0,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,31918,Subscriber,1981,1
1251,17:32.5,38:24.4,3183,Exchange Place,40.7162469,-74.0334588,3207,Oakland Ave,40.7376037,-74.0524783,31691,Subscriber,1981,1
1513,17:45.7,42:59.7,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,29591,Subscriber,1987,1
393,21:48.0,28:21.5,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,31828,Subscriber,1980,1
235,22:53.0,26:48.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26257,Subscriber,1980,1
187,30:35.2,33:42.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31829,Subscriber,1960,1
1845,37:45.3,08:30.6,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,31743,Subscriber,1976,1
464,38:44.2,46:28.7,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.0506564,26311,Subscriber,1994,1
261,48:50.2,53:11.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29628,Subscriber,1989,2
157,51:53.4,54:30.8,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29623,Subscriber,1987,1
484,55:26.3,03:30.8,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,29613,Subscriber,1956,1
372,04:07.8,10:20.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29654,Subscriber,1974,1
351,08:47.6,14:39.2,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,31873,Subscriber,1970,1
263,12:45.0,17:08.3,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26237,Subscriber,1972,2
226,17:14.2,21:00.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29628,Subscriber,1991,1
306,17:28.1,22:34.8,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29240,Subscriber,1971,1
301,17:56.8,22:58.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31731,Subscriber,1985,1
214,29:25.2,33:00.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26210,Subscriber,1980,1
280,31:14.8,35:55.0,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29201,Subscriber,1990,1
253,34:53.8,39:07.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31911,Subscriber,1981,0
191,40:33.6,43:44.9,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,31829,Subscriber,1978,1
213,50:17.1,53:50.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26173,Subscriber,1974,1
288,54:46.1,59:35.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29454,Subscriber,1978,1
301,02:18.8,07:20.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29290,Subscriber,1987,1
330,12:06.6,17:37.5,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26234,Subscriber,1975,1
322,12:06.4,17:29.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29249,Subscriber,1976,1
273,20:31.7,25:05.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29445,Subscriber,1988,1
252,20:33.9,24:46.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29280,Subscriber,1993,1
191,21:56.1,25:07.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31705,Subscriber,1991,1
341,58:48.9,04:30.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26197,Subscriber,1992,1
238,28:41.8,32:40.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26165,Subscriber,1977,1
202,38:42.0,42:04.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26151,Subscriber,1988,1
250,07:07.3,11:17.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26201,Subscriber,1990,1
77,26:29.0,27:46.4,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,31829,Subscriber,1975,1
511,00:58.2,09:29.5,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,31911,Subscriber,1979,1
259,13:22.7,17:41.9,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,31918,Subscriber,1982,2
263,16:31.6,20:54.8,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,31833,Subscriber,1981,1
234,40:40.4,44:34.8,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31867,Subscriber,1979,1
271,22:51.5,27:22.6,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29536,Subscriber,1970,1
343,37:57.3,43:40.5,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26151,Subscriber,1986,1
336,36:25.3,42:01.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31878,Subscriber,1968,1
239,54:38.7,58:38.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29634,Subscriber,1974,1
1657,18:39.1,46:16.7,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,29229,Subscriber,1987,1
172,35:33.1,38:25.9,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26192,Subscriber,1987,1
191,37:05.2,40:16.3,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26215,Subscriber,1960,1
1927,42:48.6,14:56.1,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,31690,Subscriber,1976,1
2073,44:56.7,19:30.2,3183,Exchange Place,40.7162469,-74.0334588,3207,Oakland Ave,40.7376037,-74.0524783,31777,Subscriber,1981,1
266,59:30.8,03:57.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29465,Subscriber,1989,2
380,00:40.1,07:00.8,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,31689,Subscriber,1980,1
272,05:00.2,09:32.8,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26204,Subscriber,1972,1
623,06:49.2,17:12.2,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,29280,Subscriber,1989,1
309,15:04.3,20:13.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31722,Subscriber,1990,1
253,16:01.7,20:15.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31802,Subscriber,1958,1
175,25:54.2,28:49.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26243,Subscriber,1981,0
308,29:17.9,34:26.8,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29517,Subscriber,1971,1
470,30:02.9,37:53.3,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29231,Subscriber,1984,1
370,32:42.0,38:52.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26197,Subscriber,1992,1
315,54:20.3,59:35.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31845,Subscriber,1985,1
377,58:06.7,04:23.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29536,Subscriber,1975,1
345,58:23.1,04:09.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29491,Subscriber,1976,1
582,50:47.6,00:29.9,3183,Exchange Place,40.7162469,-74.0334588,3272,Jersey & 3rd,40.72333159,-74.04595256,26166,Subscriber,1987,2
304,19:38.4,24:42.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26181,Subscriber,1992,1
160,20:16.9,22:57.4,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29445,Subscriber,1979,1
256,30:52.8,35:09.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29591,Subscriber,1990,1
333,33:04.9,38:38.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31765,Subscriber,1995,1
209,17:28.5,20:57.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29634,Subscriber,1974,1
311,19:24.8,24:36.3,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,26311,Subscriber,1970,1
634,27:54.2,38:28.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31732,Subscriber,1991,1
299,05:49.0,10:48.1,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26243,Subscriber,1993,1
454,14:56.6,22:31.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31710,Subscriber,1979,1
189,40:45.2,43:55.2,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,31845,Subscriber,1966,1
445,54:27.0,01:52.2,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29512,Subscriber,1990,1
418,50:24.9,57:23.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26189,Subscriber,1987,1
252,59:02.9,03:15.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29591,Subscriber,1968,1
349,10:14.8,16:04.5,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,31765,Subscriber,1981,1
263,22:15.5,26:39.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29256,Subscriber,1980,1
